WUSTLID,wave,ECON2A,ECON2B,ECON1A,ECON1B,ECON4A,ECON4B
989880,12,2,1,3,2,2,3
989880,13,NA,NA,NA,NA,NA,NA
989880,26,3,1,3,1,2,4
989880,27,NA,NA,NA,NA,NA,NA
989880,28,2,1,3,2,2,4
989880,29,NA,NA,NA,NA,NA,NA
989880,30,2,1,3,2,1,4
989880,31,NA,NA,NA,NA,NA,NA
989880,32,3,2,3,2,2,4
989880,33,NA,NA,NA,NA,NA,NA
989880,34,2,NA,2,2,2,4
989880,35,NA,NA,NA,NA,NA,NA
989880,36,2,1,2,1,4,2
989880,37,NA,NA,NA,NA,NA,NA
989880,38,2,1,2,1,2,4
989880,39,3,2,3,3,2,4
989880,40,2,1,3,2,2,4
989880,41,NA,NA,NA,NA,NA,NA
989880,42,2,1,3,2,2,4
989880,43,NA,NA,NA,NA,NA,NA
989880,44,3,1,3,2,2,4
989880,45,NA,NA,NA,NA,NA,NA
989880,46,3,2,3,2,2,4
989880,47,3,1,3,2,2,4
989880,48,NA,NA,NA,NA,NA,NA
989880,49,NA,NA,NA,NA,NA,NA
989880,50,2,1,3,2,2,4
989880,51,NA,NA,NA,NA,NA,NA
989880,52,2,1,3,2,2,4
989880,53,2,1,3,2,2,4
989880,54,3,1,3,2,2,4
989880,55,NA,NA,3,2,NA,NA
989880,56,2,1,3,2,2,4
989880,57,NA,NA,3,2,NA,NA
989880,58,2,1,3,2,2,4
989880,59,NA,NA,NA,NA,NA,NA
989880,60,2,1,3,3,2,4
989880,61,NA,NA,NA,NA,NA,NA
989880,62,2,1,3,2,2,4
989880,64,3,1,3,2,2,4
989880,66,3,1,3,2,2,4
989880,68,2,1,3,2,2,4
989880,69,2,1,2,1,4,2
989881,1,3,2,3,2,3,4
989881,2,NA,NA,NA,NA,NA,NA
989881,3,2,1,4,4,3,2
989881,4,NA,NA,NA,NA,NA,NA
989881,5,2,2,2,2,2,3
989881,6,NA,NA,NA,NA,NA,NA
989881,7,2,2,3,2,3,3
989881,8,2,1,2,1,2,2
989881,9,NA,NA,NA,NA,NA,NA
989881,10,NA,NA,NA,NA,NA,NA
989881,11,3,2,4,4,4,2
989881,12,3,2,4,3,3,4
989881,13,NA,NA,NA,NA,NA,NA
989881,26,2,1,4,3,3,4
989881,27,NA,NA,NA,NA,NA,NA
989881,28,2,2,4,4,2,2
989881,29,NA,NA,NA,NA,NA,NA
989881,30,3,2,3,2,4,3
989881,31,NA,NA,NA,NA,NA,NA
989881,32,2,1,3,2,4,2
989881,33,NA,NA,NA,NA,NA,NA
989881,34,2,2,3,3,2,3
989881,35,NA,NA,NA,NA,NA,NA
989881,36,2,2,3,3,3,2
989881,37,NA,NA,NA,NA,NA,NA
989881,38,2,1,4,3,4,2
989881,39,3,2,4,3,3,3
989881,40,3,2,3,3,4,2
989881,41,NA,NA,NA,NA,NA,NA
989881,42,3,2,3,2,3,2
989881,43,NA,NA,NA,NA,NA,NA
989881,44,2,2,3,3,4,2
989881,45,NA,NA,NA,NA,NA,NA
989881,46,2,1,3,3,4,2
989881,47,NA,NA,NA,NA,NA,NA
989881,48,3,3,3,2,3,2
989881,49,NA,NA,NA,NA,NA,NA
989881,50,2,2,3,2,4,2
989881,51,NA,NA,NA,NA,NA,NA
989881,52,2,2,3,3,3,3
989881,53,2,2,3,3,4,2
989881,54,2,2,3,3,NA,NA
989881,55,NA,NA,3,2,NA,NA
989881,56,2,2,3,3,4,2
989881,57,NA,NA,NA,NA,NA,NA
989881,58,2,1,3,3,3,3
989881,59,NA,NA,NA,NA,NA,NA
989881,60,NA,NA,NA,NA,1,1
989881,61,NA,NA,NA,NA,NA,NA
989881,62,NA,NA,NA,NA,NA,NA
989881,64,NA,NA,NA,NA,NA,NA
989881,66,NA,NA,NA,NA,NA,NA
989881,68,NA,NA,NA,NA,NA,NA
989881,69,NA,NA,NA,NA,NA,NA
989882,1,2,1,1,1,1,1
989882,2,2,1,1,1,1,1
